*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ScrewShield
*Date=15:21:59
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;92.0115;-44.6203;0;Bottom;Copper Fill25
2;;;62.8318;-43.5217;0;Bottom;Via105
3;;THT;75.6588;-82.6377;90;Bottom;J1
4;;;42.5118;-38.4417;0;Bottom;Via219
5;;;92.8878;-64.0132;0;Bottom;Copper Fill48
6;;;32.3518;-43.5217;0;Bottom;Via177
7;;;42.5118;-48.6017;0;Bottom;Via222
8;;;37.4318;-46.0617;0;Bottom;Via193
9;;;47.5918;-33.3617;0;Bottom;Via11
10;;THT;27.3988;-82.6377;90;Bottom;J2
11;;;91.0844;-43.7059;0;Bottom;Copper Fill27
12;;;55.2118;-43.5217;0;Bottom;Via57
13;;;57.7518;-58.7619;0;Bottom;Via68
14;;;26.543;-60.0762;0;Bottom;Copper Fill3
15;;;52.6718;-46.0615;0;Bottom;Via37
16;;;72.9742;-25.075;0;Bottom;Copper Fill22
17;;;29.8118;-35.9015;0;Bottom;Via168
18;;;34.8918;-43.5217;0;Bottom;Via189
19;;;22.1918;-43.5217;0;Bottom;Via129
20;;;48.2854;-44.6584;0;Bottom;Copper Fill10
21;;;60.2918;-56.2219;0;Bottom;Via82
22;;;57.5321;-75.8035;-90;Bottom;TXT2
23;;THT;32.1359;-61.4042;-90;Bottom;J6
24;;;29.8118;-58.7617;0;Bottom;Via164
25;;;60.2918;-46.0617;0;Bottom;Via73
26;;;24.7318;-48.6015;0;Bottom;Via138
27;;;91.0844;-53.8532;0;Bottom;Copper Fill39
28;;;29.083;-60.0762;0;Bottom;Copper Fill4
29;;;42.5118;-30.8217;0;Bottom;Via221
30;;;22.1918;-48.6017;0;Bottom;Via126
31;;;21.463;-60.0762;0;Bottom;Copper Fill1
32;;;56.4896;-24.2876;0;Bottom;Copper Fill80
33;;;42.5118;-58.7619;0;Bottom;Via224
34;;;42.5118;-56.2219;0;Bottom;Via226
35;0.030;5 mm [THT];78.7628;-33.3617;90;Bottom;POWER
36;;;42.5118;-53.6817;0;Bottom;Via227
37;;;22.1918;-51.1417;0;Bottom;Via122
38;;;60.2918;-53.6817;0;Bottom;Via83
39;;;39.9718;-48.6017;0;Bottom;Via210
40;;;34.163;-60.0762;0;Bottom;Copper Fill69
41;;;36.703;-60.0762;0;Bottom;Copper Fill7
42;;;19.6518;-35.9017;0;Bottom;Via120
43;;cap-pth-5mm;75.4918;-25.7417;0;Bottom;C2
44;;;45.0518;-58.7618;0;Bottom;Via13
45;;;36.1696;-24.2876;0;Bottom;Copper Fill76
46;;;19.6518;-30.8217;0;Bottom;Via113
47;;;15.3059;-73.1805;-90;Bottom;TXT2
48;;;47.5918;-38.4416;0;Bottom;Via8
49;;;42.2656;-65.3594;0;Bottom;Copper Fill56
50;;;27.2718;-40.9815;0;Bottom;Via151
51;;;62.8318;-38.4417;0;Bottom;Via99
52;;;57.7518;-40.9817;0;Bottom;Via67
53;;;25.2201;-14.8774;-90;Bottom;TXT2
54;;THT;91.0111;-53.708;180;Bottom;J11
55;;;28.2956;-65.3594;0;Bottom;Copper Fill51
56;;;35.2303;-15.2576;-90;Bottom;TXT2
57;;;53.9496;-24.2876;0;Bottom;Copper Fill79
58;;;92.8878;-58.9332;0;Bottom;Copper Fill44
59;;;62.8318;-46.0617;0;Bottom;Via97
60;;;29.8118;-48.6015;0;Bottom;Via162
61;;;92.0115;-42.8169;0;Bottom;Copper Fill26
62;;;29.8118;-56.2217;0;Bottom;Via166
63;;;47.5918;-58.7617;0;Bottom;Via1
64;;;19.6518;-43.5217;0;Bottom;Via117
65;;;50.1318;-38.4417;0;Bottom;Via33
66;;THT;38.7018;-28.2817;90;Bottom; 
67;;;37.4318;-53.6817;0;Bottom;Via203
68;;;57.7518;-43.5217;0;Bottom;Via69
69;;;37.4318;-56.2219;0;Bottom;Via202
70;;;34.8918;-53.6817;0;Bottom;Via191
71;;;39.7256;-65.3594;0;Bottom;Copper Fill55
72;;;27.2718;-33.3615;0;Bottom;Via148
73;;;34.8918;-58.7619;0;Bottom;Via188
74;;;82.9852;-76.0345;-90;Bottom;TXT2
75;;;62.8318;-48.6017;0;Bottom;Via102
76;;;55.2118;-48.6017;0;Bottom;Via54
77;;;29.8118;-33.3615;0;Bottom;Via160
78;;;92.0115;-58.0569;0;Bottom;Copper Fill42
79;;;30.3364;-15.3318;-90;Bottom;TXT2
80;;;37.4318;-38.4417;0;Bottom;Via195
81;;;60.2918;-51.1417;0;Bottom;Via74
82;;;28.2702;-68.1407;0;Bottom;Copper Fill12
83;;;27.2718;-35.9015;0;Bottom;Via156
84;;;25.1841;-22.0016;0;Bottom;Copper Fill86
85;;;29.083;-60.0762;0;Bottom;Copper Fill67
86;;;39.9718;-58.7619;0;Bottom;Via212
87;;;29.8118;-43.5215;0;Bottom;Via165
88;;;62.8318;-40.9817;0;Bottom;Via103
89;;;42.5118;-46.0617;0;Bottom;Via217
90;;;21.9456;-65.3594;0;Bottom;Copper Fill49
91;;;22.1918;-46.0617;0;Bottom;Via121
92;;;39.9718;-35.9017;0;Bottom;Via216
93;;;42.5118;-40.9817;0;Bottom;Via223
94;;;9.96446;-17.4218;-90;Bottom;TXT2
95;;;39.9718;-56.2219;0;Bottom;Via214
96;;;22.1918;-38.4417;0;Bottom;Via123
97;;;55.2118;-38.4417;0;Bottom;Via51
98;;;34.6456;-65.3594;0;Bottom;Copper Fill53
99;1k;THT;88.2318;-33.3617;0;Bottom;R2
100;;;14.9918;-15.5227;-90;Bottom;TXT2
101;;;39.9718;-51.1417;0;Bottom;Via206
102;;;59.0296;-65.3086;0;Bottom;Copper Fill61
103;;;39.9718;-46.0617;0;Bottom;Via205
104;;;68.1528;-14.1359;-90;Bottom;TXT2
105;;;24.003;-60.0762;0;Bottom;Copper Fill2
106;;;64.1096;-65.3086;0;Bottom;Copper Fill63
107;;;50.1318;-35.9017;0;Bottom;Via29
108;;;32.1056;-65.3594;0;Bottom;Copper Fill52
109;;;52.6718;-43.5215;0;Bottom;Via45
110;;;34.8918;-38.4417;0;Bottom;Via183
